,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
87,pyaozerskiy,0,RU,1570056741,74,35.57,65.83,31.17,14.76
88,chabahar,26,IR,1570056741,91,79.24,25.29,60.65,4.65
89,mananjary,100,MG,1570056741,73,65.36,-19.16,46.8,10.58
90,upernavik,33,GL,1570056742,69,36.49,72.79,-56.15,10.09
91,muli,0,CN,1570056742,62,71.96,28.08,109.56,1.72
92,longyearbyen,75,NO,1570056742,92,30.2,78.22,15.63,12.75
93,ixtapa,90,MX,1570056742,74,84.2,20.71,-105.21,9.17
94,avarua,99,CK,1570056743,57,77.0,-21.21,-159.78,8.05
95,jamestown,4,AU,1570056741,41,67.37,-33.21,138.6,4.97
96,pulandian,0,CN,1570056743,100,75.99,39.4,121.96,6.71
97,matagami,30,NG,1570056743,92,68.72,9.67,8.4,1.25
98,vangaindrano,95,MG,1570056743,96,68.11,-23.35,47.6,3.47
99,san quintin,68,PH,1570056744,81,78.57,17.54,120.52,2.53
100,chitral,41,PK,1570056744,60,35.14,35.85,71.79,2.28
101,vetlanda,100,SE,1570056744,100,42.8,57.43,15.09,9.17
102,inirida,95,CO,1570056745,91,76.81,3.87,-67.92,1.16
103,smoky lake,0,CA,1570056745,58,52.0,54.11,-112.47,1.99
104,kushima,75,JP,1570056745,88,77.0,31.5,131.29,6.93
105,salinas,0,US,1570056494,31,81.0,36.67,-121.66,8.05
106,paciran,10,ID,1570056746,68,78.95,-6.9,112.33,7.65
107,bandarbeyla,31,SO,1570056746,81,75.26,9.49,50.81,3.49
108,champerico,75,MX,1570056746,54,84.2,16.38,-93.6,10.29
109,adrar,0,DZ,1570056746,15,87.8,27.87,-0.29,10.29
110,bayanday,0,RU,1570056747,72,28.93,53.07,105.52,1.1
111,yulara,23,AU,1570056747,16,77.0,-25.24,130.99,4.7
112,vista hermosa,75,MX,1570056629,83,82.4,14.92,-92.27,3.36
113,tuktoyaktuk,75,CA,1570056747,86,39.2,69.44,-133.03,12.75
114,saint-pierre,0,FR,1570056747,86,41.0,48.95,4.24,6.93
115,codrington,0,AU,1570056748,72,66.2,-28.95,153.24,5.82
116,port elizabeth,1,US,1570056748,48,89.6,39.31,-74.98,3.36
117,weligama,7,LK,1570056749,82,80.64,5.97,80.42,13.58
118,saint george,20,GR,1570056628,88,64.4,39.45,22.34,5.82
119,peruibe,45,BR,1570056750,93,67.37,-24.32,-47.0,0.67
120,hirado,75,JP,1570056750,83,80.01,33.32,129.49,10.29
121,severo-kurilsk,99,RU,1570056750,96,47.92,50.68,156.12,16.82
122,puerto santander,40,VE,1570056750,66,84.2,8.35,-72.41,8.05
123,egvekinot,100,RU,1570056751,94,29.45,66.32,-179.17,3.33
124,mar del plata,70,AR,1570056621,28,49.73,-46.43,-67.52,5.7
125,east london,95,ZA,1570056569,30,67.75,-33.02,27.91,7.56
126,moron,100,HT,1570056751,75,81.45,18.56,-74.26,3.85
127,scarborough,11,GB,1570056666,76,50.0,54.28,-0.41,6.93
